College,Latitude,Longitude,Type,City,State,Locale,Locale (specific),Religious affil,USNews Classification,USNews Rank,number undergraduates,number grad students,percent returning after yr 1,Students per faculty  member,Total apps,Admitted,Enrolled,Draw rate,App fee,percent apps male,percent apps female,Male admit rate (percent) ,Female admit rt,Overall admit rate (percent),Overall yield (percent),percent submitted SAT,SAT 25th percentile,SAT 75th percentile,percent who submitted ACT,ACT 25th,ACT 75th,percent from top tenth of HS class,percent from top quarter,Percent who had unweigted GPA of 4.0,Percent who had unw GPA between 3.75 and 3.99,Percent who had GPA between 3.50 and 3.74,number ED Apps,number ED admits,ED admit rate (percent),Admit rate all non ED-applications,percent of apps filed ED,percent of the class filled with ED applicants,Other yield rate,percent of all other apps who enroll,Offered spot on WL,Accepted WL,Admitted from WL,percent of class from WL,In-state total cost,Out-of-state total cost,Private cost,percent of students received Pell grant,percent received a federal student loan,percent applied for aid,percent qual for aid,Avg percent of need met,percent no need,number full-pay undergrads,percent full-pay,Avg net price for family income <30K,30-48K,48-75K,75-110K,>110K,Median student debt,percent of students with no need who rec merit schol (1st year),Avg merit schol 1st year,percent of students with no need who rec merit schol (after 1st year),Avg merit schol after 1st year,percent of students with no need who receive merit scholarships (total undergrads),Avg merit scholarship (total undergrads),number undergraduates.1,percent of students first-generation,percent of students in-state,percent of students international,percent of students registered with disabilities,percent of students male,percent of students female,percent of students American Indian or Alaskan native,percent Asian,percent Black,percent Hispanic/Latino,percent Native Hawaiian/Pac Islander,percent Two or more races,percent Unknown,percent White,Reported crimes within student housing per 1000 residents,Reported rapes within student housing per 1000 residents,number first-year students whose family income was <30K,30-48K.1,48-75K.,75-110K.1,>110K.1,number Others,4-yr grad rate,5-yr grad rate,6-yr grad rate,Male 6-year graduation rate,Female ,25th percentile,75th percentile,Median salary 10 years after entry
Purdue University-Main Campus,40.424107,-86.921666,Public,West Lafayette,Indiana,Small city,Small city,No religious affiliation,National University,51,34376,10904.0,91,13,59436,40898,10278,0,60,60,40,63.0,78,69,25.0,62.0,1190,1430,31.0,26.0,33.0,48.0,79.0,10,39,26, ,,,,,,,,6048.0,3442.0,13.0,0,22812.0,41614.0,,15.0,26.0,50.0,34.0,75.0,66.0,18722.0,53.0,3709.0,2955.0,4645.0,11870.0,15010.0,15000.0,16.0,5860.0,22.0,5384.0,21,5384,34376,19.0,55,12,7.0,58,42,0,10,3,6,0,4,1,64,1.0,0.0,398.0,363.0,243.0,367.0,727.0,8180.0,60,79,83,81.0,85.0,32700.0,72900.0,55100.0
Rensselaer Polytechnic Institute,42.729383,-73.679404,Private; non-profit,Troy,New York,Small city,Small city,No religious affiliation,National University,51,6203,1287.0,92,17,17498,9277,1322,0,70,67,33,52.0,55,53,14.0,43.0,1360,1520,15.0,32.0,34.0,55.0,87.0,33,31,22, ,,,,,,,,,,,,,,77763.0,18.0,45.0,,,,,,,18024.0,19136.0,24779.0,31613.0,41203.0,22258.0,,,,, , ,6203,14.0,34,16,4.0,69,31,0,17,5,11,0,5,3,44,3.0,1.0,140.0,106.0,92.0,115.0,380.0,489.0,70,83,84,82.0,88.0,51700.0,89500.0,82000.0
Rose-Hulman Institute of Technology,39.483229,-87.324254,Private; non-profit,Terre Haute,Indiana,Small city,Small city,No religious affiliation,Engineering Schools, ,1992,38.0,90,10,4536,3511,643,0,60,77,23,76.0,81,77,18.0,46.0,1270,1480,31.0,28.0,33.0,66.0,66.0,60,23,12, ,,,,,,,,102.0,97.0,0.0,0,,,72651.0,12.0,46.0,74.0,60.0,69.0,40.0,6.0,0.0,27248.0,29779.0,30013.0,33025.0,41243.0,24500.0,100.0,24155.0,99.0,20165.0,99,20165,1992,14.0,30,11,10.0,76,24,0,6,5,5,0,5,1,66,0.0,0.0,22.0,30.0,27.0,70.0,159.0,335.0,75,84,87,86.0,88.0,55900.0,89700.0,80900.0
Rutgers University-New Brunswick,40.500710,-74.447450,Public,New Brunswick,New Jersey,Small city,Small city,No religious affiliation,National University,55,35760,14015.0,93,16,43161,29419,7105,0,70,45,55,67.0,69,68,24.0,45.0,1240,1470,7.0,27.0,33.0,30.0,66.0,,,, ,,,,,,,,0.0,0.0,0.0,0,34130.0,51331.0,,29.0,40.0,59.0,50.0,44.0,50.0,16454.0,48.0,7114.0,8637.0,15079.0,21013.0,23387.0,18750.0,10.0,10948.0,3.0,10927.0,5,10927,35760,35.0,94,10,,50,50,0,30,6,13,0,4,2,35,1.0,0.0,780.0,434.0,475.0,372.0,954.0,4090.0,68,81,84,80.0,87.0,32400.0,72700.0,57900.0
Southwestern University,30.636719,-97.662959,Private; non-profit,Georgetown,Texas,Small city,Small city,United Methodist,National Liberal Arts College,85,1507,,86,13,4757,2428,355,0,0,44,56,49.0,53,51,15.0,39.0,1150,1330,23.0,25.0,31.0,27.0,63.0,7,21,22,25,14.0,56.0,51.0,1.0,4.0,14.0,7.0,118.0,27.0,25.0,7,,,61720.0,25.0,47.0,72.0,61.0,86.0,39.0,11.0,1.0,19315.0,18872.0,22406.0,25349.0,33253.0,21899.0,99.0,26604.0,98.0,24733.0,98,24733,1507,20.0,89,1,12.0,45,55,0,4,5,25,0,4,1,59,5.0,3.0,60.0,29.0,31.0,26.0,85.0,124.0,68,73,74,69.0,77.0,30000.0,63000.0,54000.0
SUNY at Albany,42.684799,-73.824887,Public,Albany,New York,Small city,Small city,No religious affiliation,National University,182,13153,4258.0,80,19,21265,14458,3030,0,50,42,58,64.0,71,68,21.0,15.0,1090,1280,2.0,22.0,29.0,18.0,46.0,0,17,21, ,,,,,,,,865.0,442.0,161.0,5,28231.0,46071.0,,40.0,48.0,83.0,68.0,55.0,32.0,1863.0,16.0,12247.0,15398.0,19240.0,20767.0,23694.0,15250.0,76.0,4685.0,38.0,4220.0,46,4220,13153,30.0,96,4,5.0,48,52,0,8,20,18,0,4,2,44,2.0,1.0,558.0,273.0,330.0,213.0,416.0,1240.0,59,65,66,62.0,71.0,29100.0,62800.0,51500.0
The University of Montana,46.861894,-113.984651,Public,Missoula,Montana,Small city,Small city,No religious affiliation,National University,,7515,2773.0,71,18,7233,5941,1542,0,30,42,58,81.0,83,82,26.0,9.0,1070,1280,41.0,18.0,26.0,20.0,47.0,17,25,16, ,,,,,,,,0.0,0.0,0.0,0,23036.0,44020.0,,31.0,44.0,72.0,55.0,46.0,45.0,1282.0,22.0,11651.0,12069.0,14652.0,16051.0,18360.0,14000.0,53.0,4766.0,41.0,4721.0,44,4721,7515,30.0,67,1,14.0,43,57,5,1,1,6,0,5,5,76,2.0,1.0,167.0,78.0,82.0,65.0,63.0,1087.0,33,45,49,43.0,52.0,20000.0,48900.0,35500.0
Union College,42.818422,-73.928478,Private; non-profit,Schenectady,New York,Small city,Small city,No religious affiliation,National Liberal Arts College,48,2161,,93,9,7470,3513,565,0,60,52,48,47.0,47,47,16.0,37.0,1270,1450,16.0,28.0,32.0,58.0,81.0,10,18,22,289,176.0,61.0,46.0,4.0,31.0,12.0,5.0,541.0,218.0,15.0,3,,,78885.0,15.0,46.0,63.0,56.0,100.0,44.0,289.0,14.0,10627.0,17999.0,20694.0,27433.0,44853.0,23739.0,82.0,20039.0,63.0,16720.0,68,16720,2161,13.0,23,8,12.0,53,47,0,6,5,10,0,3,0,68,6.0,5.0,33.0,25.0,19.0,24.0,148.0,316.0,80,84,85,84.0,85.0,39800.0,71700.0,65400.0
University of Arkansas,36.068629,-94.174933,Public,Fayetteville,Arkansas,Small city,Small city,No religious affiliation,National University,176,22766,4534.0,84,19,21462,17743,6065,0,40,39,61,81.0,84,83,34.0,26.0,1050,1220,78.0,21.0,28.0,29.0,57.0,29,26,21, ,,,,,,,,0.0,0.0,0.0,0,26978.0,43794.0,,18.0,34.0,64.0,38.0,56.0,62.0,9064.0,42.0,10914.0,11538.0,14417.0,18076.0,18978.0,15000.0,34.0,4639.0,27.0,5436.0,29,5436,22766,26.0,52,2,11.0,45,55,1,3,4,10,0,4,1,75,1.0,0.0,311.0,187.0,178.0,162.0,376.0,4851.0,52,67,70,66.0,73.0,27400.0,59700.0,44900.0
University of California-Santa Cruz,36.990369,-122.058425,Public,Santa Cruz,California,Small city,Small city,No religious affiliation,National University,83,17517,1977.0,89,25,61695,36177,4187,0,70,46,54,54.0,62,59,12.0,,0,0,,,,94.0,100.0,4,19,32, ,,,,,,,,19170.0,12541.0,6633.0,158,37858.0,67612.0,,32.0,23.0,70.0,56.0,83.0,44.0,6085.0,36.0,13340.0,14379.0,17375.0,23778.0,33865.0,15000.0,16.0,8520.0,16.0,7793.0,16,7793,17517,37.0,97,8,11.0,53,47,0,23,2,27,0,8,2,30,2.0,1.0,616.0,294.0,380.0,166.0,311.0,2420.0,60,76,78,76.0,80.0,23000.0,59200.0,46900.0
University of Illinois Urbana-Champaign,40.110558,-88.228333,Public,Champaign,Illinois,Small city,Small city,No religious affiliation,National University,41,33080,17485.0,93,20,47593,28395,8297,0,50,56,44,54.0,67,60,29.0,43.0,1320,1510,24.0,29.0,34.0,32.0,62.0,3,18,21, ,,,,,,,,2455.0,1517.0,0.0,0,31636.0,49086.0,,25.0,32.0,65.0,47.0,71.0,53.0,12922.0,40.0,5651.0,8821.0,11677.0,22555.0,28311.0,15500.0,26.0,6345.0,19.0,5997.0,21,5997,33080,25.0,85,13,8.0,54,46,0,20,6,14,0,4,1,42,1.0,0.0,825.0,551.0,563.0,327.0,908.0,5123.0,71,83,85,82.0,88.0,35500.0,75000.0,61500.0
University of Kansas,38.954253,-95.255852,Public,Lawrence,Kansas,Small city,Small city,No religious affiliation,National University,121,19003,7885.0,86,17,15275,14129,4119,0,40,45,55,89.0,96,92,29.0,12.0,1090,1330,80.0,21.0,29.0,31.0,56.0,32,22,17, ,,,,,,,,,,,,25520.0,42388.0,,20.0,38.0,67.0,45.0,75.0,55.0,4472.0,27.0,13970.0,15183.0,17163.0,20432.0,22976.0,15000.0,59.0,8101.0,46.0,7740.0,49,7740,19003,22.0,60,5,5.0,47,53,0,5,4,9,0,6,1,70,1.0,0.0,210.0,206.0,159.0,169.0,371.0,3004.0,50,63,66,65.0,67.0,30300.0,63600.0,48800.0
University of Miami,25.717396,-80.278130,Private; non-profit,Coral Gables,Florida,Small city,Small city,No religious affiliation,National University,55,11094,6504.0,93,12,42245,12037,2766,1,70,40,60,33.0,25,28,23.0,31.0,1300,1460,24.0,30.0,33.0,51.0,78.0,13,25,24,1511,978.0,65.0,27.0,4.0,35.0,16.0,4.0,13095.0,4643.0,13.0,0,,,75330.0,15.0,25.0,64.0,48.0,96.0,52.0,2316.0,20.0,19275.0,14160.0,19088.0,24886.0,42497.0,15233.0,104.0,23386.0,46.0,22687.0,60,22687,11094,20.0,37,13,5.0,47,53,0,5,9,24,0,3,4,42,0.0,0.0,56.0,162.0,77.0,171.0,409.0,1891.0,73,82,84,82.0,85.0,35300.0,78600.0,60100.0
University of North Carolina at Chapel Hill,35.904613,-79.046761,Public,Chapel Hill,North Carolina,Small city,Small city,No religious affiliation,National University,29,19014,10723.0,96,13,50729,10348,4690,2,85,39,61,20.0,21,20,45.0,2.0,1140,1380,12.0,22.0,27.0,78.0,95.0,92,4,2,  ,,,,,,,,8957.0,6564.0,647.0,14,24770.0,52633.0,,23.0,19.0,60.0,42.0,100.0,58.0,9747.0,53.0,4908.0,7842.0,13477.0,19399.0,23129.0,14024.0,5.0,8660.0,10.0,7631.0,9,7631,19014,20.0,87,4,4.0,40,60,0,12,8,9,0,5,3,57,1.0,1.0,391.0,273.0,249.0,230.0,319.0,3228.0,84,90,90,89.0,91.0,33200.0,71500.0,55600.0
University of Vermont,44.477761,-73.196474,Public,Burlington,Vermont,Small city,Small city,No religious affiliation,National University,121,10700,2105.0,87,16,25559,16233,2932,0,55,35,65,56.0,68,64,18.0,34.0,1240,1410,14.0,29.0,33.0,33.0,74.0,17,28,26, ,,,,,,,,6190.0,3030.0,198.0,7,35654.0,60542.0,,15.0,39.0,71.0,53.0,69.0,47.0,1057.0,10.0,12566.0,11693.0,15919.0,21767.0,26178.0,17055.0,89.0,16722.0,74.0,15925.0,77,15925,10700,12.0,23,3,18.0,39,61,0,3,1,5,0,3,3,82,2.0,1.0,55.0,62.0,59.0,75.0,98.0,2583.0,70,76,77,72.0,81.0,28400.0,59800.0,47300.0
Virginia Polytechnic Institute and State University,37.228265,-80.423395,Public,Blacksburg,Virginia,Small city,Small city,No religious affiliation,National University,62,29196,7083.0,93,14,42054,23746,6758,1,60,56,44,53.0,60,56,28.0,83.0,1210,1410,35.0,26.0,32.0,,,0,75,16,2305,1336.0,58.0,56.0,5.0,20.0,24.0,14.0,14952.0,9176.0,3292.0,49,28634.0,48317.0,,15.0,35.0,66.0,40.0,51.0,60.0,14061.0,48.0,11740.0,13739.0,18113.0,24065.0,26726.0,19999.0,20.0,3540.0,16.0,4072.0,17,4072,29196,18.0,74,6,8.0,57,43,0,11,5,8,0,5,3,63,1.0,0.0,366.0,344.0,260.0,366.0,871.0,4551.0,68,84,87,84.0,90.0,37400.0,76900.0,62500.0
Wesleyan University,41.557240,-72.656705,Private; non-profit,Middletown,Connecticut,Small city,Small city,No religious affiliation,National Liberal Arts College,18,2933,212.0,97,8,13067,2540,910,2,36,37,63,22.0,18,19,,51.0,1300,1510,27.0,31.0,34.0,67.0,0.0,,,,900,494.0,55.0,17.0,7.0,54.0,20.0,3.0,3585.0,2031.0,10.0,1,,,82245.0,17.0,21.0,41.0,39.0,100.0,61.0,1949.0,60.0,4449.0,4800.0,10298.0,14835.0,51016.0,15157.0,0.0,17854.0,1.0,53187.0,1,53187,2933,20.0,9,11,19.0,42,58,0,8,6,12,0,7,2,55,7.0,5.0,40.0,44.0,35.0,39.0,110.0,642.0,86,90,91,88.0,94.0,27400.0,67100.0,54700.0
Wofford College,34.958739,-81.935211,Private; non-profit,Spartanburg,South Carolina,Small city,Small city,United Methodist,National Liberal Arts College,70,1719,,92,12,4351,2282,459,0,0,45,55,50.0,55,52,20.0,29.0,1185,1330,28.0,27.0,32.0,,,,,, ,,,,,,,,,,,,,,67638.0,18.0,43.0,,,,,,,18141.0,24088.0,23166.0,29807.0,33901.0,23250.0,,,,, ,,1719,,59,2,10.0,47,53,0,2,8,5,0,3,0,81,5.0,2.0,45.0,30.0,27.0,43.0,105.0,209.0,75,80,80,74.0,86.0,34700.0,63000.0,51500.0
Amherst College,42.372139,-72.519333,Private; non-profit,Amherst,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,2,1839,,97,7,13999,1224,515,5,60,44,56,8.0,9,9,42.0,36.0,1370,1550,31.0,32.0,34.0,85.0,96.0,,,,878,213.0,24.0,8.0,6.0,41.0,30.0,2.0,1285.0,788.0,0.0,0,,,80050.0,25.0,9.0,65.0,59.0,100.0,41.0,834.0,41.0,4625.0,5328.0,7077.0,17601.0,45564.0,10647.0,0.0,,0.0,,0,0,1839,21.0,13,10,23.0,48,52,1,15,10,14,0,7,2,40,22.0,6.0,46.0,21.0,21.0,13.0,37.0,377.0,87,91,92,92.0,93.0,32600.0,73200.0,65000.0
Babson College,42.298222,-71.265427,Private; non-profit,Wellesley,Massachusetts,Suburb,Suburb (large city),No religious affiliation,Business school, ,2324,939.0,95,14,7104,1801,650,1,75,65,35,20.0,36,25,36.0,34.0,1330,1480,14.0,30.0,33.0,,, , , ,735,276.0,38.0,28.0,10.0,42.0,25.0,6.0,3015.0,1210.0,1.0,0,,,76360.0,14.0,29.0,50.0,41.0,96.0,59.0,1369.0,54.0,18034.0,17443.0,19414.0,24018.0,49318.0,21000.0,5.0,33519.0,9.0,20976.0,8,20976,2324,15.0,22,27,10.0,55,45,0,12,4,13,0,3,6,35,2.0,1.0,46.0,36.0,41.0,23.0,98.0,406.0,90,93,94,93.0,94.0,56200.0,109000.0,96100.0
Claremont McKenna College,34.100562,-117.706797,Private; non-profit,Claremont,California,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,9,1335,3.0,96,8,5632,633,358,5,70,45,55,11.0,11,11,57.0,28.0,1420,1530,25.0,32.0,35.0,73.0,94.0,,,,694,200.0,29.0,9.0,12.0,56.0,36.0,3.0,897.0,589.0,9.0,3,,,78717.0,20.0,17.0,48.0,41.0,100.0,59.0,752.0,53.0,249.0,9160.0,12545.0,41440.0,47122.0,14375.0,11.0,14403.0,9.0,15072.0,9,15072,1335,,50,14,14.0,49,51,0,13,5,17,0,7,5,38,6.0,2.0,25.0,25.0,22.0,8.0,28.0,250.0,80,91,93,91.0,94.0,44000.0,91000.0,72900.0
Clemson University,34.673142,-82.836841,Public,Clemson,South Carolina,Suburb,Suburb (large city),No religious affiliation,National University,77,20074,5627.0,93,16,47007,23138,4593,0,70,38,62,47.0,51,49,20.0,40.0,1220,1420,30.0,27.0,32.0,53.0,85.0,75,12,8, ,,,,,,,,9865.0,4964.0,11.0,0,34164.0,57156.0,,15.0,37.0,63.0,41.0,47.0,59.0,7228.0,34.0,13872.0,15717.0,20834.0,24773.0,25868.0,19500.0,38.0,4287.0,39.0,4719.0,39,4719,20074,17.0,56,1,,51,49,0,3,6,6,0,4,0,80,0.0,0.0,179.0,206.0,127.0,239.0,511.0,3331.0,65,83,85,81.0,89.0,32200.0,68900.0,52400.0
Colorado School of Mines,39.750948,-105.222485,Public,Golden,Colorado,Suburb,Suburb (large city),No religious affiliation,National University,89,5103,1472.0,92,17,12022,6838,1449,0,25,66,34,53.0,65,57,21.0,53.0,1310,1470,31.0,29.0,33.0,55.0,87.0,21,49,22, ,,,,,,,,1538.0,543.0,20.0,1,38203.0,59503.0,,14.0,38.0,71.0,44.0,60.0,56.0,821.0,17.0,18417.0,15701.0,16812.0,17784.0,28661.0,21000.0,95.0,7517.0,63.0,8392.0,69,8392,5103,15.0,54,4,6.0,69,31,0,5,1,12,0,5,3,70,1.0,1.0,13.0,27.0,17.0,38.0,220.0,1134.0,67,82,83,83.0,84.0,44900.0,99000.0,84900.0
Davidson College,35.501404,-80.842303,Private; non-profit,Davidson,North Carolina,Suburb,Suburb (large city),Presbyterian Church (USA),National Liberal Arts College,15,1833,,95,9,6434,1145,547,3,50,45,55,18.0,18,18,48.0,,0,0,,,,,,,,,726,322.0,44.0,14.0,11.0,59.0,27.0,4.0,,,,,,,73200.0,15.0,12.0,64.0,52.0,100.0,48.0,858.0,43.0,7163.0,5442.0,11806.0,15494.0,37952.0,17250.0,7.0,35549.0,11.0,31188.0,10,31188,1833,16.0,20,7,12.0,48,52,0,6,6,8,0,4,1,66,10.0,5.0,40.0,23.0,23.0,20.0,39.0,402.0,86,89,90,87.0,93.0,36800.0,74800.0,58900.0
Furman University,34.928160,-82.439886,Private; non-profit,Greenville,South Carolina,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,45,2671,140.0,89,9,7174,5119,656,0,50,41,59,67.0,74,71,13.0,26.0,1240,1422,29.0,29.0,33.0,40.0,69.0,18,25,21,193,92.0,48.0,72.0,3.0,14.0,11.0,8.0,623.0,,28.0,4,,,69880.0,11.0,27.0,59.0,44.0,84.0,56.0,223.0,10.0,9934.0,18331.0,20509.0,25643.0,34641.0,19500.0,84.0,26412.0,82.0,21743.0,82,23064,2671,12.0,29,3,18.0,39,61,0,3,7,6,0,3,1,77,5.0,4.0,20.0,25.0,18.0,34.0,69.0,490.0,77,81,82,80.0,83.0,30800.0,64000.0,51200.0
George Mason University,38.831391,-77.311887,Public,Fairfax,Virginia,Suburb,Suburb (large city),No religious affiliation,National University,137,26013,11201.0,86,17,20527,18741,3986,0,70,44,56,89.0,93,91,21.0,37.0,1140,1350,3.0,25.0,30.0,16.0,41.0,24,22,22, ,,,,,,,,855.0,337.0,230.0,6,30669.0,54129.0,,29.0,39.0,70.0,56.0,52.0,44.0,6751.0,31.0,13342.0,14429.0,17359.0,21649.0,24371.0,16231.0,58.0,6680.0,19.0,6364.0,25,6364,26013,30.0,82,5,5.0,51,49,0,22,11,16,0,5,3,37,1.0,0.0,380.0,242.0,257.0,229.0,458.0,2420.0,49,65,70,65.0,75.0,33600.0,73700.0,59900.0
Haverford College,42.374443,-71.116943,Private; non-profit,Haverford,Pennsylvania,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,18,1308,,96,8,5332,951,411,2,65,45,55,17.0,19,18,43.0,38.0,1420,1540,21.0,33.0,35.0,,,,,,458,198.0,43.0,15.0,9.0,48.0,28.0,4.0,1593.0,955.0,6.0,0,,,81570.0,15.0,12.0,51.0,45.0,100.0,55.0,767.0,54.0,6923.0,8200.0,14648.0,20371.0,51841.0,10607.0,0.0,,0.0,,0,0,1308,16.0,15,12,19.0,46,54,0,11,6,13,0,6,2,51,6.0,4.0,24.0,15.0,20.0,22.0,60.0,270.0,84,89,90,91.0,90.0,26200.0,67900.0,60700.0
Hofstra University,40.716443,-73.599654,Private; non-profit,Hempstead,New York,Suburb,Suburb (large city),No religious affiliation,National University,166,6400,4306.0,83,13,24886,16862,1659,0,70,38,62,65.0,69,68,10.0,37.0,1180,1370,8.0,27.0,31.0,,,,,, ,,,,,,,,139.0,105.0,98.0,6,,,68628.0,21.0,45.0,79.0,64.0,67.0,36.0,432.0,7.0,25892.0,29445.0,33426.0,35140.0,35563.0,18500.0,87.0,25310.0,77.0,22031.0,79,22031,6400,24.0,65,5,13.0,45,55,0,12,9,14,0,3,2,54,2.0,1.0,157.0,103.0,98.0,93.0,328.0,880.0,60,68,70,68.0,71.0,28600.0,67500.0,53100.0
Lafayette College,40.698349,-75.210226,Private; non-profit,Easton,Pennsylvania,Suburb,Suburb (large city),Presbyterian Church (USA),National Liberal Arts College,39,2641,,94,9,8262,3366,782,1,65,51,49,40.0,42,41,23.0,28.0,1300,1460,13.0,30.0,33.0,61.0,85.0,12,20,27,617,330.0,53.0,40.0,7.0,42.0,15.0,6.0,1836.0,763.0,32.0,4,,,75934.0,11.0,24.0,55.0,36.0,100.0,64.0,1434.0,53.0,24133.0,19036.0,30271.0,34957.0,53627.0,19000.0,29.0,20740.0,12.0,25771.0,17,25771,2641,15.0,18,9,12.0,49,51,0,4,5,7,0,4,4,66,9.0,4.0,27.0,25.0,14.0,36.0,115.0,565.0,85,87,88,87.0,89.0,43100.0,85300.0,68600.0
Lake Forest College,42.250276,-87.828954,Private; non-profit,Lake Forest,Illinois,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,85,1527,24.0,88,12,4358,2808,417,0,0,44,56,61.0,67,64,15.0,26.0,1130,1345,15.0,26.0,31.0,41.0,74.0,29,16,19,51,20.0,39.0,65.0,1.0,5.0,14.0,9.0,23.0,23.0,5.0,6,,,66400.0,36.0,50.0,88.0,82.0,89.0,18.0,-13.0,0.0,16413.0,17327.0,19806.0,25666.0,31652.0,25000.0,96.0,31278.0,108.0,27854.0,104,27854,1527,25.0,63,13,10.0,41,59,0,5,4,18,0,4,6,49,2.0,1.0,58.0,49.0,52.0,31.0,109.0,118.0,67,72,73,70.0,75.0,29800.0,61900.0,50900.0
Mount Holyoke College,42.255020,-72.572906,Private; non-profit,South Hadley,Massachusetts,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,36,2175,110.0,93,9,3971,2077,608,1,60,0,100,,52,52,29.0,24.0,1300,1510,11.0,31.0,35.0,49.0,82.0,35,29,25,278,151.0,54.0,52.0,7.0,25.0,24.0,12.0,530.0,276.0,1.0,0,,,75098.0,22.0,41.0,73.0,66.0,100.0,34.0,452.0,21.0,7687.0,11140.0,12235.0,20456.0,30375.0,19000.0,44.0,21299.0,38.0,22176.0,39,22176,2175,19.0,20,28,12.0,0,100,0,7,6,9,0,4,1,44,3.0,1.0,50.0,41.0,49.0,32.0,58.0,378.0,82,84,85,,85.0,24900.0,53300.0,48600.0
Pepperdine University,34.041271,-118.709721,Private; non-profit,Malibu,California,Suburb,Suburb (large city),Churches of Christ,National University,55,3581,5241.0,91,13,11855,6249,1024,0,65,36,64,52.0,53,53,16.0,19.0,1260,1440,3.0,25.0,30.0,49.0,88.0,14,37,26,,,,,,,,,975.0,563.0,0.0,0,,,80152.0,19.0,35.0,64.0,54.0,75.0,46.0,379.0,12.0,28304.0,26285.0,27667.0,32775.0,43673.0,21831.0,76.0,17200.0,73.0,13226.0,74,13226,3581,18.0,50,10,16.0,42,58,0,12,5,16,0,7,1,48,1.0,0.0,74.0,55.0,39.0,75.0,170.0,611.0,72,81,83,78.0,87.0,34900.0,89200.0,65500.0
Pomona College,34.097666,-117.711827,Private; non-profit,Claremont,California,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,3,1610,,97,6,11620,771,451,9,70,40,60,7.0,6,7,58.0,37.0,1470,1570,29.0,33.0,35.0,90.0,8.0,,,,1606,205.0,13.0,6.0,14.0,45.0,43.0,2.0,840.0,570.0,27.0,6,,,77710.0,21.0,4.0,68.0,57.0,100.0,43.0,610.0,42.0,2285.0,3508.0,5830.0,12676.0,41881.0,9915.0,1.0,5000.0,1.0,5000.0,1,5000,1610,30.0,34,11,14.0,42,58,0,18,11,18,0,7,4,30,15.0,3.0,26.0,25.0,24.0,11.0,11.0,354.0,86,92,93,92.0,94.0,36500.0,72600.0,58100.0
Quinnipiac University,41.421440,-72.894005,Private; non-profit,Hamden,Connecticut,Suburb,Suburb (large city),No religious affiliation,National University,166,6816,2863.0,84,15,15722,13855,1492,0,65,36,64,89.0,88,88,11.0,,0,0,,,,18.0,52.0,0,22,30, ,,,,,,,,1240.0,335.0,321.0,22,,,69760.0,15.0,57.0,73.0,61.0,61.0,39.0,425.0,7.0,30052.0,30318.0,31882.0,36101.0,40018.0,20500.0,91.0,23874.0,79.0,21805.0,82,21805,6816,20.0,27,2,11.0,38,62,0,4,4,10,0,3,3,75,1.0,1.0,108.0,118.0,84.0,161.0,669.0,352.0,77,80,80,75.0,83.0,42200.0,77000.0,63300.0
Rochester Institute of Technology,43.084294,-77.671471,Private; non-profit,Rochester,New York,Suburb,Suburb (large city),No religious affiliation,National University,105,12623,2941.0,88,13,21923,15645,3355,0,65,61,39,70.0,74,71,21.0,39.0,1270,1450,12.0,28.0,33.0,39.0,74.0,,,,1635,1355.0,83.0,1207.0,58.0,42.0,13.0,160.0,930.0,758.0,211.0,7,,,69232.0,27.0,52.0,83.0,72.0,86.0,28.0,483.0,4.0,22694.0,23405.0,25850.0,30260.0,40298.0,23250.0,96.0,17264.0,83.0,14595.0,86,14595,12623,19.0,47,5,15.0,66,34,0,10,5,8,0,4,8,61,1.0,1.0,407.0,327.0,286.0,377.0,754.0,1204.0,25,64,71,66.0,76.0,32200.0,77500.0,62400.0
Samford University,33.464796,-86.791396,Private; non-profit,Birmingham,Alabama,Suburb,Suburb (large city),Baptist,National University,127,3585,2101.0,89,12,4217,3537,920,0,40,33,67,81.0,85,84,26.0,22.0,1100,1290,66.0,23.0,29.0,29.0,57.0,38,24,17, ,,,,,,,,146.0,83.0,22.0,2,,,52514.0,11.0,31.0,60.0,40.0,74.0,60.0,285.0,8.0,22382.0,24416.0,28936.0,30577.0,34207.0,17096.0,91.0,15607.0,85.0,14472.0,85,13207,3585,14.0,24,1,10.0,32,68,0,1,6,4,0,2,0,86,1.0,0.0,48.0,43.0,28.0,49.0,189.0,563.0,68,78,79,74.0,82.0,29200.0,61700.0,49900.0
Sarah Lawrence College,40.934331,-73.845968,Private; non-profit,Bronxville,New York,Suburb,Suburb (large city),No religious affiliation,National Liberal Arts College,72,1364,237.0,83,10,4452,2603,438,0,60,18,82,67.0,56,58,17.0,15.0,1260,1470,9.0,29.0,32.0,,,,,, ,,,,,,,,,,,,,,77228.0,15.0,47.0,,,,,,,18317.0,20076.0,21760.0,26297.0,16435.0,15000.0,,,,, , ,1364,11.0,22,9,20.0,24,76,0,4,5,10,0,5,9,58,7.0,4.0,30.0,25.0,23.0,56.0,91.0,213.0,67,75,76,77.0,76.0,20800.0,52100.0,43000.0
